Wall time,Step,Value
1666112712.0245025,409600,7.190000057220459
1666112880.0984893,411648,11.09000015258789
1666113031.7731776,413696,9.510000228881836
1666113184.119737,415744,10.085000038146973
1666113337.4724417,417792,9.850000381469727
1666113491.7979789,419840,5.684999942779541
1666113656.8390098,421888,9.90999984741211
1666113808.5391257,423936,8.869999885559082
1666113958.5155478,425984,4.940000057220459
1666114105.2324708,428032,7.909999847412109
1666114269.6792889,430080,10.6899995803833
1666114419.6120083,432128,10.880000114440918
1666114573.2155643,434176,11.03499984741211
1666114722.6482003,436224,9.65999984741211
1666114873.5365784,438272,5.164999961853027
1666115048.158356,440320,9.829999923706055
1666115198.2805338,442368,4.375
1666115347.6161652,444416,0.36000001430511475
1666115498.9300525,446464,-1.5
1666115653.3967805,448512,1.0049999952316284
1666115821.9806125,450560,3.430000066757202
1666115976.4017177,452608,5.289999961853027
1666116129.8913715,454656,7.639999866485596
1666116276.498779,456704,9.925000190734863
1666116429.336363,458752,7.909999847412109
1666116603.118515,460800,12.4399995803833
1666116756.1141698,462848,7.84499979019165
1666116914.5106127,464896,5.625
1666117070.6758957,466944,3.5799999237060547
1666117224.405862,468992,2.755000114440918
1666117392.2484188,471040,2.859999895095825
1666117540.6370704,473088,4.53000020980835
1666117678.7962058,475136,1.7200000286102295
1666117825.6128526,477184,1.3200000524520874
1666117971.9180093,479232,2.4749999046325684
1666118137.8549654,481280,7.28000020980835
1666118285.9129212,483328,6.90500020980835
1666118436.674372,485376,6.514999866485596
1666118583.0076764,487424,4.835000038146973
1666118725.4384537,489472,0.05000000074505806
1666118895.82583,491520,4.059999942779541
1666119047.7647023,493568,5.909999847412109
1666119195.2038293,495616,3.5850000381469727
1666119348.2934453,497664,5.460000038146973
1666119498.572751,499712,8.494999885559082
1666119656.7168016,501760,11.074999809265137
1666119804.1482708,503808,8.470000267028809
1666119949.9838521,505856,5.269999980926514
1666120094.4586616,507904,4.65500020980835
1666120231.5789812,509952,0.4449999928474426
1666120397.8589084,512000,6.960000038146973
1666120539.1632543,514048,6.09499979019165
1666120685.5416873,516096,7.744999885559082
1666120834.7851615,518144,10.135000228881836
1666121001.3295662,520192,13.510000228881836
1666121156.413962,522240,8.260000228881836
1666121311.8231657,524288,9.364999771118164
1666121465.9935808,526336,8.34000015258789
1666121618.7255492,528384,8.71500015258789
1666121786.6058002,530432,8.635000228881836
1666121932.5903585,532480,6.295000076293945
1666122083.1059365,534528,3.8450000286102295
1666122230.4384162,536576,8.609999656677246
1666122366.7633846,538624,5.0
1666122525.9297879,540672,-4.230000019073486
1666122669.6428428,542720,-9.010000228881836
1666122814.952091,544768,-13.050000190734863
1666122954.3874688,546816,-0.5099999904632568
1666123099.8440063,548864,14.210000038146973
1666123264.0121748,550912,14.34000015258789
1666123404.1584158,552960,7.349999904632568
1666123551.808217,555008,3.744999885559082
1666123703.5960906,557056,3.240000009536743
1666123851.5938144,559104,8.8149995803833
1666124012.5688334,561152,2.1500000953674316
1666124156.620627,563200,-2.4000000953674316
1666124300.2377079,565248,-4.980000019073486
1666124442.8370583,567296,-3.069999933242798
1666124592.6579103,569344,-8.255000114440918
1666124751.2207115,571392,-3.7799999713897705
1666124898.7488563,573440,4.125
1666125046.1530538,575488,7.804999828338623
1666125186.7928681,577536,2.5450000762939453
1666125334.6805782,579584,-2.3450000286102295
1666125497.3342624,581632,-1.7300000190734863
1666125643.0968845,583680,-0.20000000298023224
1666125790.808013,585728,2.765000104904175
1666125938.4622192,587776,9.555000305175781
1666126083.4302254,589824,13.71500015258789
1666126243.4293091,591872,9.039999961853027
1666126399.4366424,593920,12.835000038146973
1666126545.019624,595968,8.805000305175781
1666126694.101751,598016,7.914999961853027
1666126857.5888355,600064,9.279999732971191
1666127004.5940866,602112,9.395000457763672
1666127147.8040495,604160,6.375
1666127300.1708078,606208,7.585000038146973
1666127447.5534294,608256,14.104999542236328
1666127606.7016683,610304,14.15999984741211
1666127749.1592195,612352,14.210000038146973
1666127893.156307,614400,13.65999984741211
1666128037.8600304,616448,6.889999866485596
1666128179.3781211,618496,6.954999923706055
1666128346.2024086,620544,5.815000057220459
1666128499.5610883,622592,7.869999885559082
1666128643.0430393,624640,3.200000047683716
1666128787.6923227,626688,-6.159999847412109
1666128927.1779141,628736,-10.625
1666129084.824664,630784,-11.645000457763672
1666129227.8112009,632832,0.7200000286102295
1666129377.9023182,634880,12.979999542236328
1666129523.7003872,636928,16.485000610351562
1666129664.5595005,638976,13.489999771118164
1666129827.4644828,641024,13.274999618530273
1666129975.9909878,643072,13.354999542236328
